doc_id,item,category,amount,price,discount
XZQC6EM,Тарелка,Посуда,3,984.38,0.0
XZQC6EM,Яблоки,Продукты,3,182.71,15.31
XZQC6EM,Порошок стиральный,Бытовая химия,3,100.02,0.0
XZQC6EM,Молоко,Продукты,3,213.18,60.04
XZQC6EM,Мыло,Бытовая химия,5,238.48,0.0
N8ROEY0,Шампунь,Бытовая химия,1,175.49,0.0
N8ROEY0,Средство для мытья посуды,Бытовая химия,5,202.59,0.0
BP381J7,Колбаса,Продукты,1,272.24,70.97
BP381J7,Хлеб,Продукты,5,126.48,19.21
BP381J7,Молоко,Продукты,2,324.61,44.61
BP381J7,Постельное белье,Текстиль,1,735.19,0.0
BP381J7,Скатерть,Текстиль,1,1364.96,354.46
G2P6234,Плед,Текстиль,5,1158.99,0.0
G2P6234,Порошок стиральный,Бытовая химия,4,308.86,0.0
G2P6234,Порошок стиральный,Бытовая химия,1,116.37,27.89
G2P6234,Плед,Текстиль,5,1959.86,0.0
CW8PRGY,Скатерть,Текстиль,4,1225.74,292.74
CW8PRGY,Средство для мытья посуды,Бытовая химия,4,124.63,0.0
CW8PRGY,Молоко,Продукты,2,300.69,22.29
CW8PRGY,Колбаса,Продукты,3,156.58,0.0
DDZA5MH,Скатерть,Текстиль,4,874.27,0.0
DDZA5MH,Сковорода,Посуда,4,2395.22,0.0
UUC8J06,Флешка,Электроника,1,484.32,0.0
UUC8J06,Шампунь,Бытовая химия,3,240.0,0.0
E10TNXD,Плед,Текстиль,5,2360.46,434.41
E10TNXD,Кастрюля,Посуда,5,1893.32,474.58
E10TNXD,Сковорода,Посуда,1,1432.39,182.7
E10TNXD,Мышь,Электроника,2,1218.31,0.0
ZM1RO54,Сыр,Продукты,2,286.38,0.0
DQNQHA3,Чашка,Посуда,2,634.53,0.0
DQNQHA3,Шторы,Текстиль,1,2108.67,0.0
DQNQHA3,Мышь,Электроника,2,1942.54,0.0
MAPEEWJ,Скатерть,Текстиль,4,1885.37,0.0
MAPEEWJ,Средство для мытья посуды,Бытовая химия,3,152.49,0.0
MAPEEWJ,Шторы,Текстиль,3,2254.18,0.0
MAPEEWJ,Яблоки,Продукты,4,128.98,0.0
MAPEEWJ,Кастрюля,Посуда,1,732.83,0.0
K323NGS,Флешка,Электроника,5,1411.13,303.78
KCCDKJJ,Плед,Текстиль,3,1724.32,0.0
KCCDKJJ,Сыр,Продукты,2,337.07,26.56
V2CEI4R,Шампунь,Бытовая химия,2,261.2,0.0
V2CEI4R,Чашка,Посуда,3,504.81,0.0
V2CEI4R,Хлеб,Продукты,4,262.3,0.0
V2CEI4R,Колбаса,Продукты,4,205.89,0.0
9ZC52XG,Клавиатура,Электроника,5,1941.88,0.0
9ZC52XG,Нож,Посуда,2,542.16,85.98
9ZC52XG,Шторы,Текстиль,3,2571.32,572.65
9ZC52XG,Шампунь,Бытовая химия,3,203.95,0.0
DA471E8,Тарелка,Посуда,3,394.45,91.74
DA471E8,Кастрюля,Посуда,2,2013.99,456.33
DA471E8,Чашка,Посуда,4,475.48,0.0
DA471E8,Сыр,Продукты,5,286.81,0.0
DA471E8,Кастрюля,Посуда,1,311.12,88.21
TWSRG26,Порошок стиральный,Бытовая химия,3,365.49,0.0
TWSRG26,Колбаса,Продукты,1,333.51,69.68
TWSRG26,Порошок стиральный,Бытовая химия,3,223.56,0.0
FPT12N4,Колбаса,Продукты,4,258.31,0.0
FPT12N4,Мышь,Электроника,1,970.51,0.0
FPT12N4,Постельное белье,Текстиль,5,1150.84,186.9
FPT12N4,Хлеб,Продукты,2,331.62,61.23
FPT12N4,Средство для мытья посуды,Бытовая химия,2,203.92,0.0
ZMRF6YP,Сковорода,Посуда,1,311.65,0.0
ZMRF6YP,Молоко,Продукты,2,257.79,42.62
ZMRF6YP,Сыр,Продукты,1,268.47,0.0
ZMRF6YP,Сковорода,Посуда,5,2301.73,0.0
8EZJH5C,Флешка,Электроника,2,965.47,0.0
8EZJH5C,Тарелка,Посуда,1,1997.7,0.0
8EZJH5C,Мыло,Бытовая химия,2,310.55,0.0
Z3BA3N6,Нож,Посуда,4,1947.61,288.1
IS77A11,Скатерть,Текстиль,4,861.63,0.0
IS77A11,Порошок стиральный,Бытовая химия,2,363.07,0.0
IS77A11,Мыло,Бытовая химия,2,276.77,0.0
IS77A11,Мышь,Электроника,5,571.66,0.0
IS77A11,Средство для мытья посуды,Бытовая химия,2,334.86,40.51
H6WCE9H,Сковорода,Посуда,1,1892.57,164.62
H6WCE9H,Молоко,Продукты,1,99.23,0.0
H6WCE9H,Кастрюля,Посуда,3,2187.02,0.0
H6WCE9H,Шампунь,Бытовая химия,1,347.88,0.0
H6WCE9H,Мышь,Электроника,4,546.84,0.0
NR40FZX,Молоко,Продукты,2,242.97,0.0
IY8D4BJ,Яблоки,Продукты,4,277.97,0.0
IY8D4BJ,Кастрюля,Посуда,2,308.37,0.0
IY8D4BJ,Скатерть,Текстиль,4,1330.02,86.68
IY8D4BJ,Хлеб,Продукты,2,156.76,20.89
IY8D4BJ,Флешка,Электроника,1,1782.3,379.54
DQH3QIX,Флешка,Электроника,2,1544.52,0.0
DQH3QIX,Чашка,Посуда,2,1387.21,0.0
DQH3QIX,Нож,Посуда,4,1852.04,0.0
2599CBZ,Мышь,Электроника,5,1729.25,0.0
2599CBZ,Кастрюля,Посуда,4,794.89,224.79
2599CBZ,Постельное белье,Текстиль,5,1097.48,0.0
DTB83YR,Полотенце,Текстиль,5,2871.63,0.0
DTB83YR,Мышь,Электроника,5,871.8,0.0
DTB83YR,Наушники,Электроника,2,902.88,0.0
DTB83YR,Хлеб,Продукты,2,308.11,0.0
DTB83YR,Кастрюля,Посуда,3,1323.53,0.0
3SL60MN,Кастрюля,Посуда,4,2194.1,0.0
3SL60MN,Порошок стиральный,Бытовая химия,3,251.32,44.57
3SL60MN,Флешка,Электроника,2,1593.4,0.0
3SL60MN,Молоко,Продукты,5,326.73,0.0
3SL60MN,Мыло,Бытовая химия,5,371.26,0.0
3QX2HDX,Порошок стиральный,Бытовая химия,1,166.41,0.0
3QX2HDX,Флешка,Электроника,5,1957.21,145.57
3QX2HDX,Кастрюля,Посуда,2,2309.07,0.0
3QX2HDX,Кастрюля,Посуда,2,1969.76,439.95
W5NVZ14,Мышь,Электроника,3,486.17,0.0
W5NVZ14,Молоко,Продукты,3,291.47,0.0
8JUJ9T9,Молоко,Продукты,1,291.05,0.0
8JUJ9T9,Чашка,Посуда,4,1463.04,0.0
8JUJ9T9,Полотенце,Текстиль,2,1279.91,0.0
8JUJ9T9,Хлеб,Продукты,2,137.96,20.82
FDIN08H,Колбаса,Продукты,4,316.88,0.0
FDIN08H,Зарядное устройство,Электроника,1,756.94,95.91
FDIN08H,Полотенце,Текстиль,2,2730.25,217.5
FDIN08H,Скатерть,Текстиль,1,805.19,0.0
NMPMXP3,Постельное белье,Текстиль,5,2137.21,0.0
NMPMXP3,Скатерть,Текстиль,2,913.61,0.0
8PGBR99,Кастрюля,Посуда,4,818.98,43.7
8PGBR99,Клавиатура,Электроника,1,861.76,0.0
8PGBR99,Средство для мытья посуды,Бытовая химия,3,207.82,0.0
MD7M4ZV,Постельное белье,Текстиль,5,658.66,0.0
MD7M4ZV,Зарядное устройство,Электроника,3,983.44,0.0
MD7M4ZV,Средство для мытья посуды,Бытовая химия,4,290.95,35.05
MD7M4ZV,Мыло,Бытовая химия,5,178.05,11.88
MD7M4ZV,Сковорода,Посуда,3,1126.71,0.0
FZG3GXJ,Тарелка,Посуда,1,1591.93,0.0
FZG3GXJ,Нож,Посуда,2,725.09,89.41
FZG3GXJ,Постельное белье,Текстиль,1,2389.74,0.0
UPTYHTK,Шторы,Текстиль,4,2566.26,0.0
UPTYHTK,Яблоки,Продукты,1,229.7,19.3
UPTYHTK,Нож,Посуда,3,709.97,193.02
UPTYHTK,Кастрюля,Посуда,5,1898.59,0.0
UPTYHTK,Чашка,Посуда,4,1986.45,0.0
COK3TOS,Флешка,Электроника,2,946.69,0.0
COK3TOS,Постельное белье,Текстиль,1,2725.74,0.0
COK3TOS,Гель для душа,Бытовая химия,4,170.3,0.0
COK3TOS,Кастрюля,Посуда,3,2224.95,626.42
SC762AB,Мышь,Электроника,5,1067.35,110.54
SC762AB,Средство для мытья посуды,Бытовая химия,5,270.76,28.68
SC762AB,Шторы,Текстиль,1,1975.6,0.0
SC762AB,Клавиатура,Электроника,5,1332.04,0.0
VFGDW84,Гель для душа,Бытовая химия,3,375.75,0.0
VFGDW84,Зарядное устройство,Электроника,1,597.87,129.98
VFGDW84,Порошок стиральный,Бытовая химия,5,236.62,0.0
3G3SDQ5,Плед,Текстиль,2,2521.78,0.0
3G3SDQ5,Сыр,Продукты,3,349.79,0.0
3G3SDQ5,Клавиатура,Электроника,5,1640.02,0.0
3G3SDQ5,Сковорода,Посуда,3,1349.13,0.0
3G3SDQ5,Мыло,Бытовая химия,5,160.53,0.0
2WAORPR,Гель для душа,Бытовая химия,2,399.76,0.0
U1A4E9N,Гель для душа,Бытовая химия,1,312.62,0.0
U1A4E9N,Клавиатура,Электроника,2,813.7,154.33
U1A4E9N,Полотенце,Текстиль,4,565.43,0.0
U1A4E9N,Полотенце,Текстиль,3,1473.16,0.0
7OQ55QR,Флешка,Электроника,4,871.15,235.17
4E52RZX,Сыр,Продукты,3,206.5,0.0
4E52RZX,Наушники,Электроника,1,1884.52,0.0
4E52RZX,Гель для душа,Бытовая химия,1,210.66,20.21
4E52RZX,Колбаса,Продукты,3,140.0,0.0
4E52RZX,Мышь,Электроника,5,1751.91,509.96
AKVRKP8,Сковорода,Посуда,4,490.47,50.92
AKVRKP8,Средство для мытья посуды,Бытовая химия,5,272.85,0.0
AKVRKP8,Хлеб,Продукты,4,339.05,64.07
K86I68F,Хлеб,Продукты,4,198.29,25.68
K86I68F,Кастрюля,Посуда,4,2447.65,263.07
