doc_id,item,category,amount,price,discount
XMCM7BR,Мышь,Электроника,5,1434.17,361.83
8HPHBOX,Шторы,Текстиль,1,1296.16,0.0
8HPHBOX,Средство для мытья посуды,Бытовая химия,5,371.96,0.0
8HPHBOX,Полотенце,Текстиль,5,1476.44,0.0
A58FXHN,Хлеб,Продукты,4,222.1,61.04
LNNB5K1,Хлеб,Продукты,4,238.9,0.0
VKVTAH3,Яблоки,Продукты,3,160.23,0.0
VKVTAH3,Колбаса,Продукты,3,134.78,0.0
VKVTAH3,Полотенце,Текстиль,3,2923.93,0.0
YOHOY56,Зарядное устройство,Электроника,4,965.61,0.0
YOHOY56,Наушники,Электроника,3,1426.97,0.0
YOHOY56,Наушники,Электроника,2,1234.93,0.0
YOHOY56,Порошок стиральный,Бытовая химия,1,164.82,0.0
ZWLJPUM,Зарядное устройство,Электроника,2,1295.63,0.0
T9FE630,Мыло,Бытовая химия,3,308.58,0.0
TTUJ83J,Наушники,Электроника,3,1727.01,0.0
TTUJ83J,Постельное белье,Текстиль,4,2376.98,0.0
HICZX01,Гель для душа,Бытовая химия,1,145.05,0.0
HICZX01,Мышь,Электроника,5,1320.24,0.0
HICZX01,Порошок стиральный,Бытовая химия,5,138.54,31.25
HICZX01,Скатерть,Текстиль,2,2406.13,0.0
Z6UWWBW,Шторы,Текстиль,5,1484.54,0.0
Z6UWWBW,Плед,Текстиль,2,2500.55,235.37
IWXG3XA,Шторы,Текстиль,1,1337.79,0.0
06QD163,Яблоки,Продукты,4,221.76,30.55
HLYVC9E,Средство для мытья посуды,Бытовая химия,3,183.53,0.0
O1HGPCX,Колбаса,Продукты,3,229.32,50.12
O1HGPCX,Мыло,Бытовая химия,4,165.34,0.0
FDE2KMQ,Яблоки,Продукты,5,128.6,0.0
FDE2KMQ,Клавиатура,Электроника,5,1636.87,0.0
LYFTJSX,Клавиатура,Электроника,5,1241.8,0.0
LYFTJSX,Молоко,Продукты,1,167.57,0.0
LYFTJSX,Флешка,Электроника,4,1623.0,406.98
