doc_id,item,category,amount,price,discount
Z9TKUSE,Сыр,Продукты,3,181.26,0.0
Z9TKUSE,Молоко,Продукты,5,340.23,0.0
Z9TKUSE,Сковорода,Посуда,3,1502.36,0.0
Z9TKUSE,Скатерть,Текстиль,4,2973.53,749.1
J64JXHC,Шторы,Текстиль,5,2853.01,0.0
J64JXHC,Клавиатура,Электроника,2,959.76,0.0
J64JXHC,Зарядное устройство,Электроника,2,1578.22,0.0
J64JXHC,Полотенце,Текстиль,2,812.89,98.19
J64JXHC,Кастрюля,Посуда,3,1882.24,0.0
CELW84F,Флешка,Электроника,3,630.46,160.81
CELW84F,Кастрюля,Посуда,4,299.75,25.05
CELW84F,Мышь,Электроника,3,638.8,78.1
CELW84F,Мыло,Бытовая химия,5,260.13,60.42
CELW84F,Полотенце,Текстиль,1,1641.53,0.0
J8PVHC8,Нож,Посуда,4,651.13,162.29
J8PVHC8,Порошок стиральный,Бытовая химия,4,386.39,43.76
J8PVHC8,Мыло,Бытовая химия,3,145.34,0.0
SZLIZJV,Зарядное устройство,Электроника,3,1256.13,0.0
2N7K24O,Тарелка,Посуда,3,1602.4,0.0
2N7K24O,Порошок стиральный,Бытовая химия,5,173.67,14.15
2N7K24O,Порошок стиральный,Бытовая химия,1,132.93,0.0
FQC7J5B,Наушники,Электроника,3,669.94,0.0
FQC7J5B,Шторы,Текстиль,2,2486.0,167.18
NXC6VPN,Флешка,Электроника,4,1782.7,348.72
NXC6VPN,Плед,Текстиль,3,2856.18,0.0
NXC6VPN,Плед,Текстиль,2,1822.65,0.0
NXC6VPN,Мышь,Электроника,3,1104.85,66.13
G2RXXB9,Мыло,Бытовая химия,4,368.19,26.33
G2RXXB9,Хлеб,Продукты,5,180.65,14.11
G2RXXB9,Шторы,Текстиль,5,798.28,0.0
G2RXXB9,Кастрюля,Посуда,3,2268.8,0.0
UL1R0TU,Плед,Текстиль,3,2399.33,693.97
UL1R0TU,Клавиатура,Электроника,5,528.71,0.0
NMUBBLC,Гель для душа,Бытовая химия,4,213.33,0.0
U29LU9N,Скатерть,Текстиль,1,1075.46,0.0
U29LU9N,Молоко,Продукты,3,332.66,75.59
C9LIJIA,Зарядное устройство,Электроника,1,622.83,55.7
WTI2LAW,Шторы,Текстиль,5,1641.4,0.0
BGSIRL9,Молоко,Продукты,2,327.43,0.0
BGSIRL9,Флешка,Электроника,3,1578.88,0.0
2ELP4QF,Шампунь,Бытовая химия,5,178.08,0.0
2ELP4QF,Яблоки,Продукты,5,165.76,33.41
2ELP4QF,Хлеб,Продукты,3,258.86,62.53
2ELP4QF,Плед,Текстиль,5,2326.72,359.03
MM1Q0DP,Зарядное устройство,Электроника,4,902.92,0.0
MM1Q0DP,Тарелка,Посуда,1,435.43,0.0
MM1Q0DP,Яблоки,Продукты,2,334.76,39.59
GGZ5283,Порошок стиральный,Бытовая химия,1,172.33,47.3
GGZ5283,Тарелка,Посуда,5,2173.13,0.0
GGZ5283,Мыло,Бытовая химия,1,280.52,0.0
Q64R30W,Наушники,Электроника,4,691.23,0.0
Q64R30W,Сковорода,Посуда,3,1569.27,0.0
6PRG125,Кастрюля,Посуда,3,505.32,140.02
6PRG125,Чашка,Посуда,1,1112.97,164.08
6PRG125,Мышь,Электроника,4,1650.56,0.0
6PRG125,Яблоки,Продукты,4,307.85,0.0
2XHEOMU,Мышь,Электроника,4,1289.04,0.0
2XHEOMU,Сыр,Продукты,1,287.2,0.0
2XHEOMU,Кастрюля,Посуда,5,1274.88,268.98
X2X6UOK,Гель для душа,Бытовая химия,1,330.39,0.0
9DP0JCZ,Мышь,Электроника,1,736.55,0.0
9DP0JCZ,Полотенце,Текстиль,1,985.33,0.0
9DP0JCZ,Мыло,Бытовая химия,1,170.04,0.0
9DP0JCZ,Клавиатура,Электроника,2,1163.27,0.0
56HWOJU,Гель для душа,Бытовая химия,1,176.32,0.0
TNFW2BG,Скатерть,Текстиль,3,1476.1,0.0
51AUSL0,Сыр,Продукты,1,178.45,0.0
51AUSL0,Сковорода,Посуда,4,1538.4,80.78
51AUSL0,Наушники,Электроника,4,931.74,0.0
51AUSL0,Яблоки,Продукты,2,168.94,42.24
3PQKURW,Плед,Текстиль,5,2195.81,585.15
3PQKURW,Скатерть,Текстиль,1,1195.16,0.0
3PQKURW,Сковорода,Посуда,2,1816.62,427.56
3PQKURW,Сковорода,Посуда,2,1614.47,0.0
JONZN4T,Мышь,Электроника,3,1569.95,0.0
JONZN4T,Скатерть,Текстиль,5,2605.53,0.0
TY80WJN,Шторы,Текстиль,2,2842.2,0.0
NZT14BK,Мышь,Электроника,5,1713.43,479.8
NZT14BK,Скатерть,Текстиль,1,866.84,239.3
FV3OLUM,Шторы,Текстиль,2,2379.23,265.03
FV3OLUM,Сыр,Продукты,3,184.28,22.8
FV3OLUM,Кастрюля,Посуда,5,988.79,0.0
FV3OLUM,Наушники,Электроника,5,528.52,0.0
FV3OLUM,Средство для мытья посуды,Бытовая химия,1,171.76,11.87
W749FUE,Зарядное устройство,Электроника,2,803.8,218.51
BJ89B3R,Колбаса,Продукты,5,126.28,0.0
BJ89B3R,Порошок стиральный,Бытовая химия,4,232.78,0.0
